i,time,HHsize,HH,Type,has_hh,month
1,29,4,1,NA,FALSE,1
2,28,6,1,NA,FALSE,1
3,29,4,1,NA,FALSE,1
3,65,4,1,H,TRUE,3
3,91,4,1,H,TRUE,4
3,63,4,1,H,TRUE,3
3,335,4,9,C,FALSE,12
3,338,6,14,C,FALSE,12
3,342,4,15,C,FALSE,12
3,361,4,18,C,FALSE,13
3,312,4,22,C,FALSE,11
3,248,4,22,C,FALSE,9
3,341,4,22,H,TRUE,12
3,345,6,24,C,FALSE,12
3,243,6,25,C,FALSE,9
3,274,6,25,H,TRUE,10
3,98,5,26,H,TRUE,4
3,64,5,26,C,FALSE,3
3,338,3,27,H,TRUE,12
3,306,3,27,C,FALSE,11
3,163,4,31,C,FALSE,6
3,196,4,31,H,TRUE,7
3,191,4,31,H,TRUE,7
3,339,6,32,C,FALSE,12
3,279,6,33,C,FALSE,10
3,342,6,33,C,FALSE,12
3,245,4,36,C,FALSE,9
3,183,6,38,C,FALSE,7
3,210,6,38,H,TRUE,7
3,364,5,39,C,FALSE,13
3,340,6,41,C,FALSE,12
3,248,6,41,C,FALSE,9
3,309,6,44,C,FALSE,11
3,313,6,44,C,FALSE,11
3,361,5,50,H,TRUE,13
3,329,5,50,C,FALSE,11
3,128,5,53,C,FALSE,5
3,350,5,54,C,TRUE,12
3,311,5,54,C,FALSE,11
3,348,5,55,H,TRUE,12
3,312,5,55,C,FALSE,11
3,224,3,57,C,FALSE,8
3,316,3,60,H,TRUE,11
3,283,3,60,H,TRUE,10
3,252,3,60,C,FALSE,9
3,152,5,65,H,TRUE,6
3,93,5,65,C,FALSE,4
3,124,5,65,H,TRUE,5
3,347,4,67,C,FALSE,12
3,281,4,69,C,FALSE,10
3,281,6,76,C,FALSE,10
3,341,6,77,C,FALSE,12
3,341,5,82,C,FALSE,12
3,280,6,84,C,FALSE,10
3,305,6,87,C,FALSE,11
3,359,6,87,C,FALSE,12
3,212,6,94,C,FALSE,8
3,303,5,96,H,TRUE,11
3,334,5,96,H,TRUE,12
3,273,5,96,C,FALSE,10
3,336,6,108,C,FALSE,12
3,279,4,112,C,FALSE,10
3,314,4,112,H,TRUE,11
3,341,3,115,C,FALSE,12
3,351,4,120,C,FALSE,12
3,343,5,129,C,FALSE,12
3,343,5,135,C,FALSE,12
3,245,5,136,H,TRUE,9
3,249,5,136,H,TRUE,9
3,215,5,136,C,FALSE,8
3,308,4,142,C,FALSE,11
3,215,5,143,C,FALSE,8
3,160,5,149,H,TRUE,6
3,128,5,149,C,FALSE,5
3,250,4,158,C,FALSE,9
3,223,5,171,C,FALSE,8
3,291,6,173,H,TRUE,10
3,257,6,173,C,FALSE,9
3,324,6,173,H,TRUE,11
3,360,6,173,H,TRUE,12
3,291,6,173,H,TRUE,10
3,159,4,178,C,FALSE,6
3,308,4,183,C,FALSE,11
3,309,6,185,C,FALSE,11
3,349,6,186,H,TRUE,12
3,315,6,186,C,FALSE,11
3,342,3,187,C,FALSE,12
3,179,4,188,C,FALSE,6
3,315,6,190,C,FALSE,11
3,343,6,190,H,TRUE,12
3,313,4,199,C,FALSE,11
3,310,4,203,C,FALSE,11
3,341,4,203,C,TRUE,12
3,129,5,209,C,TRUE,5
3,91,5,209,C,FALSE,4
3,282,6,210,C,FALSE,10
3,136,6,216,C,FALSE,5
3,344,5,218,C,FALSE,12
3,285,6,220,H,TRUE,10
3,280,6,220,H,TRUE,10
3,252,6,220,C,FALSE,9
4,28,5,1,NA,FALSE,1
4,347,5,1,C,FALSE,12
4,308,4,12,C,FALSE,11
4,281,4,13,C,FALSE,10
4,59,5,16,C,FALSE,2
4,313,6,19,C,FALSE,11
4,344,6,19,H,TRUE,12
4,95,4,24,C,FALSE,4
4,286,6,28,C,FALSE,10
4,125,6,29,C,FALSE,5
4,224,3,38,C,FALSE,8
4,253,3,38,H,TRUE,9
4,312,3,47,C,FALSE,11
4,161,3,60,C,FALSE,6
4,291,4,61,C,FALSE,10
4,284,4,64,C,FALSE,10
4,313,3,72,C,FALSE,11
4,338,4,96,C,FALSE,12
4,342,3,100,C,FALSE,12
4,315,4,110,C,FALSE,11
4,349,5,112,C,FALSE,12
4,318,6,135,H,TRUE,11
4,285,6,135,C,FALSE,10
4,158,4,136,C,FALSE,6
4,253,5,144,C,FALSE,9
