i,time,HHsize,HH,Type,has_hh,month
1,330,6,3,NA,FALSE,11
1,317,6,4,NA,FALSE,11
1,255,6,5,NA,FALSE,9
1,225,5,6,NA,FALSE,8
1,319,4,8,NA,FALSE,11
1,170,5,13,NA,FALSE,6
1,307,4,15,NA,FALSE,11
1,103,5,19,NA,FALSE,4
1,37,4,24,NA,FALSE,2
1,58,3,28,NA,FALSE,2
1,201,6,29,NA,FALSE,7
1,314,6,29,NA,FALSE,11
1,359,6,30,NA,FALSE,12
1,292,6,34,NA,FALSE,10
1,360,4,35,NA,FALSE,12
1,147,6,36,NA,FALSE,5
1,127,4,38,NA,TRUE,5
1,110,4,38,NA,FALSE,4
1,114,5,40,NA,FALSE,4
1,201,5,40,NA,FALSE,7
1,100,5,44,NA,FALSE,4
1,89,5,45,NA,FALSE,3
1,342,5,45,NA,FALSE,12
1,70,5,47,NA,FALSE,3
1,302,5,49,NA,FALSE,11
1,85,5,49,NA,FALSE,3
1,201,5,57,NA,FALSE,7
1,359,5,57,NA,FALSE,12
1,245,6,61,NA,FALSE,9
1,269,6,61,NA,TRUE,9
1,162,6,65,NA,FALSE,6
1,197,6,66,NA,FALSE,7
1,209,5,68,NA,FALSE,7
1,222,5,68,NA,TRUE,8
1,84,4,70,NA,FALSE,3
1,168,3,72,NA,FALSE,6
1,65,4,78,NA,FALSE,3
1,310,6,79,NA,FALSE,11
1,350,6,80,NA,FALSE,12
1,110,6,80,NA,FALSE,4
1,304,6,82,NA,FALSE,11
1,148,6,84,NA,FALSE,5
1,293,6,88,NA,FALSE,10
1,58,3,91,NA,FALSE,2
1,79,4,92,NA,FALSE,3
1,308,6,95,NA,FALSE,11
1,171,5,96,NA,TRUE,6
1,150,5,96,NA,FALSE,5
1,247,5,96,NA,FALSE,9
1,254,6,97,NA,FALSE,9
1,215,3,98,NA,FALSE,8
1,37,5,99,NA,FALSE,2
1,203,3,109,NA,FALSE,7
1,339,3,109,NA,FALSE,12
1,222,6,111,NA,FALSE,8
1,325,3,113,NA,FALSE,11
1,300,3,116,NA,FALSE,10
1,205,6,125,NA,FALSE,7
1,155,4,126,NA,FALSE,6
1,59,6,127,NA,FALSE,2
1,183,4,128,NA,FALSE,7
1,70,5,131,NA,FALSE,3
1,196,3,135,NA,FALSE,7
1,340,5,137,NA,FALSE,12
1,239,4,142,NA,FALSE,8
1,159,6,143,NA,FALSE,6
1,34,4,146,NA,FALSE,2
1,216,4,146,NA,FALSE,8
1,361,6,147,NA,FALSE,13
1,166,3,148,NA,FALSE,6
1,218,6,149,NA,FALSE,8
1,258,6,149,NA,TRUE,9
1,179,6,150,NA,FALSE,6
1,117,6,155,NA,FALSE,4
1,318,6,155,NA,FALSE,11
1,236,6,157,NA,FALSE,8
1,65,6,157,NA,FALSE,3
1,136,4,159,NA,FALSE,5
1,194,5,162,NA,FALSE,7
1,88,6,163,NA,FALSE,3
1,251,5,168,NA,FALSE,9
1,147,6,172,NA,FALSE,5
1,217,4,175,NA,FALSE,8
1,259,5,180,NA,FALSE,9
1,285,6,181,NA,FALSE,10
1,220,4,182,NA,FALSE,8
1,135,5,184,NA,FALSE,5
1,338,5,184,NA,FALSE,12
1,192,3,186,NA,FALSE,7
1,234,3,186,NA,TRUE,8
1,85,4,191,NA,FALSE,3
1,348,4,196,NA,FALSE,12
1,91,4,197,NA,FALSE,4
1,71,6,202,NA,FALSE,3
1,69,6,204,NA,FALSE,3
1,121,6,204,NA,FALSE,5
1,203,5,205,NA,FALSE,7
1,301,3,209,NA,FALSE,11
1,135,3,215,NA,FALSE,5
1,206,4,217,NA,FALSE,7
2,299,4,1,NA,TRUE,10
2,257,4,1,NA,FALSE,9
2,355,6,2,NA,FALSE,12
2,146,6,2,NA,FALSE,5
2,81,4,8,NA,FALSE,3
2,319,5,9,NA,FALSE,11
2,148,5,9,NA,FALSE,5
2,192,4,10,NA,FALSE,7
2,327,4,11,NA,FALSE,11
2,360,4,11,NA,TRUE,12
2,298,5,14,NA,FALSE,10
2,308,4,16,NA,FALSE,11
2,128,6,17,NA,FALSE,5
2,292,4,20,NA,FALSE,10
2,230,4,21,NA,FALSE,8
2,199,5,25,NA,FALSE,7
2,348,4,26,NA,FALSE,12
2,344,3,27,NA,FALSE,12
2,68,4,35,NA,FALSE,3
2,118,6,37,NA,FALSE,4
2,361,5,38,NA,FALSE,13
2,109,6,44,NA,FALSE,4
2,47,4,45,NA,FALSE,2
2,190,6,46,NA,FALSE,7
2,171,5,52,NA,FALSE,6
2,58,5,52,NA,FALSE,2
2,326,6,54,NA,FALSE,11
2,126,6,54,NA,FALSE,5
2,70,6,54,NA,FALSE,3
2,106,4,55,NA,FALSE,4
2,148,3,56,NA,FALSE,5
2,246,6,57,NA,FALSE,9
2,91,6,57,NA,FALSE,4
2,122,3,62,NA,FALSE,5
2,216,3,62,NA,FALSE,8
2,226,3,65,NA,FALSE,8
2,264,6,66,NA,FALSE,9
2,127,4,73,NA,FALSE,5
2,44,5,74,NA,FALSE,2
2,158,6,75,NA,FALSE,6
2,290,6,75,NA,FALSE,10
2,166,5,81,NA,FALSE,6
2,350,4,82,NA,FALSE,12
2,357,4,87,NA,FALSE,12
2,144,3,89,NA,FALSE,5
2,166,6,94,NA,FALSE,6
2,83,4,96,NA,FALSE,3
2,269,3,97,NA,FALSE,9
2,329,3,99,NA,FALSE,11
2,208,4,101,NA,FALSE,7
2,177,5,102,NA,FALSE,6
2,363,6,107,NA,FALSE,13
2,258,6,112,NA,FALSE,9
2,222,4,121,NA,FALSE,8
2,52,4,121,NA,FALSE,2
2,154,4,121,NA,FALSE,6
2,59,4,123,NA,FALSE,2
2,317,5,125,NA,FALSE,11
2,205,3,126,NA,FALSE,7
2,103,5,127,NA,FALSE,4
2,206,3,131,NA,FALSE,7
2,151,4,132,NA,FALSE,6
2,216,3,133,NA,FALSE,8
2,171,5,140,NA,FALSE,6
2,223,5,140,NA,FALSE,8
2,323,5,150,NA,FALSE,11
2,128,6,155,NA,FALSE,5
2,67,6,161,NA,FALSE,3
2,202,3,163,NA,FALSE,7
2,132,4,164,NA,FALSE,5
2,140,4,165,NA,FALSE,5
2,122,3,166,NA,FALSE,5
2,104,6,172,NA,FALSE,4
2,172,5,174,NA,FALSE,6
2,266,5,177,NA,FALSE,9
2,214,5,179,NA,FALSE,8
2,253,6,180,NA,FALSE,9
2,140,6,180,NA,FALSE,5
2,237,3,183,NA,FALSE,8
2,70,3,190,NA,FALSE,3
2,29,6,192,NA,FALSE,1
2,240,5,194,NA,FALSE,8
2,94,6,196,NA,FALSE,4
2,237,4,197,NA,FALSE,8
2,335,6,199,NA,FALSE,12
2,52,6,201,NA,FALSE,2
2,272,6,203,NA,FALSE,10
2,316,4,205,NA,FALSE,11
2,78,5,207,NA,FALSE,3
2,111,4,211,NA,FALSE,4
2,173,4,213,NA,FALSE,6
2,252,4,215,NA,FALSE,9
2,65,4,216,NA,FALSE,3
2,231,3,217,NA,FALSE,8
2,140,3,217,NA,FALSE,5
2,141,6,219,NA,FALSE,5
2,257,6,219,NA,FALSE,9
2,158,4,220,NA,FALSE,6
2,171,5,224,NA,FALSE,6
2,245,4,225,NA,FALSE,9
2,211,6,228,NA,FALSE,8
2,352,5,229,NA,FALSE,12
2,64,6,230,NA,FALSE,3
3,224,6,1,NA,FALSE,8
3,212,5,3,NA,FALSE,8
3,283,6,4,NA,FALSE,10
3,264,6,5,NA,FALSE,9
3,329,4,6,NA,FALSE,11
3,48,4,11,NA,FALSE,2
3,339,6,13,NA,FALSE,12
3,170,6,13,NA,FALSE,6
3,121,3,14,NA,FALSE,5
3,176,3,14,NA,FALSE,6
3,31,3,14,NA,FALSE,2
3,177,5,16,NA,FALSE,6
3,141,3,22,NA,TRUE,5
3,102,3,22,NA,FALSE,4
3,68,6,23,NA,FALSE,3
3,224,6,28,NA,FALSE,8
3,217,6,28,NA,FALSE,8
3,32,4,37,NA,FALSE,2
3,250,6,46,NA,FALSE,9
3,175,4,49,NA,FALSE,6
3,250,5,51,NA,FALSE,9
3,272,3,58,NA,FALSE,10
3,355,6,61,NA,FALSE,12
3,95,5,62,NA,FALSE,4
3,185,6,65,NA,FALSE,7
3,254,5,67,NA,FALSE,9
3,110,4,73,NA,FALSE,4
3,358,5,75,NA,FALSE,12
3,171,6,79,NA,FALSE,6
3,324,6,80,NA,FALSE,11
3,246,4,81,NA,FALSE,9
3,39,6,82,NA,FALSE,2
3,38,6,82,NA,FALSE,2
3,275,3,83,NA,FALSE,10
3,196,4,87,NA,FALSE,7
3,92,6,88,NA,FALSE,4
3,190,6,93,NA,FALSE,7
3,95,6,93,NA,FALSE,4
3,164,6,97,NA,FALSE,6
3,51,3,98,NA,FALSE,2
3,213,6,99,NA,FALSE,8
3,361,4,101,NA,FALSE,13
3,62,4,104,NA,TRUE,3
3,43,4,104,NA,FALSE,2
3,31,4,105,NA,FALSE,2
3,62,6,107,NA,FALSE,3
3,151,6,111,NA,FALSE,6
3,321,5,112,NA,FALSE,11
3,141,4,118,NA,FALSE,5
3,107,5,122,NA,FALSE,4
3,175,4,123,NA,FALSE,6
3,345,4,128,NA,FALSE,12
3,77,5,132,NA,FALSE,3
3,180,4,133,NA,FALSE,6
3,301,5,134,NA,FALSE,11
3,157,6,140,NA,FALSE,6
3,288,6,141,NA,FALSE,10
3,154,4,142,NA,FALSE,6
3,56,5,146,NA,FALSE,2
3,342,5,150,NA,FALSE,12
3,294,3,155,NA,FALSE,10
3,52,3,155,NA,FALSE,2
3,233,5,157,NA,FALSE,8
3,34,4,158,NA,FALSE,2
3,316,4,161,NA,FALSE,11
3,289,5,165,NA,FALSE,10
3,359,5,165,NA,FALSE,12
3,217,3,166,NA,FALSE,8
3,154,4,170,NA,FALSE,6
3,333,4,170,NA,FALSE,12
3,123,3,172,NA,FALSE,5
3,96,6,174,NA,FALSE,4
3,355,6,175,NA,FALSE,12
3,288,6,178,NA,FALSE,10
3,323,6,178,NA,TRUE,11
3,37,6,178,NA,FALSE,2
3,346,3,180,NA,FALSE,12
3,353,6,186,NA,FALSE,12
3,50,6,188,NA,FALSE,2
3,292,4,192,NA,FALSE,10
3,311,4,197,NA,FALSE,11
3,37,3,200,NA,FALSE,2
3,347,3,203,NA,FALSE,12
3,205,3,204,NA,FALSE,7
3,147,4,205,NA,FALSE,5
3,239,4,210,NA,FALSE,8
3,113,6,211,NA,FALSE,4
3,35,6,211,NA,FALSE,2
3,352,6,213,NA,FALSE,12
3,269,6,213,NA,FALSE,9
3,239,6,214,NA,FALSE,8
3,191,4,216,NA,FALSE,7
3,268,5,218,NA,FALSE,9
3,210,5,218,NA,FALSE,7
