i,time,Type,has_hh,month
1,201,NA,FALSE,7
1,322,NA,FALSE,11
1,101,NA,FALSE,4
1,353,NA,FALSE,12
1,127,NA,FALSE,5
1,294,NA,FALSE,10
1,301,NA,FALSE,11
1,102,NA,FALSE,4
1,138,NA,FALSE,5
1,105,NA,FALSE,4
1,212,NA,FALSE,8
1,339,NA,FALSE,12
1,301,NA,FALSE,11
1,262,NA,FALSE,9
1,113,NA,FALSE,4
1,219,NA,FALSE,8
1,308,NA,FALSE,11
1,356,NA,FALSE,12
1,232,NA,FALSE,8
1,141,NA,FALSE,5
1,87,NA,FALSE,3
1,40,NA,FALSE,2
1,203,NA,FALSE,7
1,169,NA,FALSE,6
1,90,NA,FALSE,3
1,317,NA,FALSE,11
1,332,NA,FALSE,12
1,267,NA,TRUE,9
1,66,NA,FALSE,3
1,231,NA,FALSE,8
1,315,NA,FALSE,11
1,146,NA,TRUE,5
1,125,NA,FALSE,5
1,243,NA,FALSE,9
1,125,NA,FALSE,5
1,164,NA,FALSE,6
1,255,NA,FALSE,9
1,30,NA,FALSE,1
1,102,NA,FALSE,4
1,77,NA,FALSE,3
1,297,NA,FALSE,10
1,307,NA,FALSE,11
1,61,NA,FALSE,3
1,158,NA,FALSE,6
1,286,NA,FALSE,10
1,34,NA,FALSE,2
1,253,NA,FALSE,9
1,194,NA,FALSE,7
1,331,NA,FALSE,12
1,244,NA,FALSE,9
1,362,NA,FALSE,13
1,159,NA,TRUE,6
1,141,NA,FALSE,5
1,256,NA,FALSE,9
1,103,NA,FALSE,4
1,294,NA,FALSE,10
1,229,NA,FALSE,8
1,213,NA,FALSE,8
1,220,NA,FALSE,8
1,159,NA,FALSE,6
1,174,NA,FALSE,6
1,55,NA,FALSE,2
1,174,NA,FALSE,6
1,139,NA,FALSE,5
1,357,NA,FALSE,12
1,338,NA,FALSE,12
1,280,NA,FALSE,10
1,255,NA,FALSE,9
1,204,NA,FALSE,7
1,50,NA,FALSE,2
1,284,NA,FALSE,10
1,277,NA,FALSE,10
1,163,NA,FALSE,6
1,75,NA,TRUE,3
1,63,NA,FALSE,3
1,335,NA,FALSE,12
1,342,NA,FALSE,12
1,212,NA,FALSE,8
1,221,NA,FALSE,8
1,307,NA,FALSE,11
1,85,NA,FALSE,3
1,247,NA,FALSE,9
1,235,NA,FALSE,8
1,224,NA,FALSE,8
1,153,NA,FALSE,6
1,309,NA,FALSE,11
1,229,NA,FALSE,8
1,70,NA,FALSE,3
1,319,NA,FALSE,11
1,116,NA,FALSE,4
1,311,NA,FALSE,11
1,145,NA,FALSE,5
1,104,NA,FALSE,4
1,72,NA,FALSE,3
1,239,NA,FALSE,8
1,248,NA,FALSE,9
1,55,NA,FALSE,2
1,333,NA,FALSE,12
1,206,NA,FALSE,7
1,340,NA,FALSE,12
1,54,NA,FALSE,2
1,90,NA,FALSE,3
1,255,NA,FALSE,9
1,90,NA,FALSE,3
1,204,NA,FALSE,7
1,324,NA,FALSE,11
1,30,NA,FALSE,1
1,293,NA,FALSE,10
1,58,NA,FALSE,2
1,79,NA,TRUE,3
1,363,NA,FALSE,13
1,64,NA,FALSE,3
1,307,NA,FALSE,11
1,354,NA,FALSE,12
1,134,NA,FALSE,5
1,65,NA,FALSE,3
1,341,NA,FALSE,12
1,41,NA,FALSE,2
1,326,NA,FALSE,11
1,325,NA,FALSE,11
