"ID" "SIZE" "HH" "TYPE" "TIME" "S_NUM" "I_NUM"
"1" 1 3 1 "0" 34 2 2
"2" 2 3 1 "H" 64 0 0
"3" 3 3 1 "H" 81 0 0
"4" 4 5 2 "C" NA NA 0
"5" 5 5 2 NA NA NA 0
"6" 6 5 2 NA NA NA 0
"7" 7 5 2 NA NA NA 0
"8" 8 5 2 NA NA NA 0
"9" 9 3 3 NA NA NA 0
"10" 10 3 3 NA NA NA 0
"11" 11 3 3 NA NA NA 0
"12" 12 6 4 NA NA NA 0
"13" 13 6 4 NA NA NA 0
"14" 14 6 4 "C" 323 4 0
"15" 15 6 4 NA NA NA 0
"16" 16 6 4 NA NA NA 0
"17" 17 6 4 "C" 354 4 0
"18" 18 3 5 NA NA NA 0
"19" 19 3 5 NA NA NA 0
"20" 20 3 5 NA NA NA 0
"21" 21 5 6 "H" NA NA 0
"22" 22 5 6 "H" 360 3 1
"23" 23 5 6 NA NA NA 0
"24" 24 5 6 NA NA NA 0
"25" 25 5 6 "C" 334 4 1
"26" 26 6 7 "C" 344 5 0
"27" 27 6 7 "C" NA NA 0
"28" 28 6 7 NA NA NA 0
"29" 29 6 7 NA NA NA 0
"30" 30 6 7 NA NA NA 0
"31" 31 6 7 NA NA NA 0
"32" 32 3 8 NA NA NA 0
"33" 33 3 8 "C" 311 1 0
"34" 34 3 8 "C" 145 2 0
"35" 35 5 9 NA NA NA 0
"36" 36 5 9 NA NA NA 0
"37" 37 5 9 NA NA NA 0
"38" 38 5 9 "C" NA NA 0
"39" 39 5 9 NA NA NA 0
"40" 40 6 10 "H" NA NA 0
"41" 41 6 10 "H" 305 3 2
"42" 42 6 10 "C" 270 5 1
"43" 43 6 10 "H" 293 4 1
"44" 44 6 10 "H" 343 1 1
"45" 45 6 10 "H" 324 1 0
"46" 46 6 11 NA NA NA 0
"47" 47 6 11 NA NA NA 0
"48" 48 6 11 NA NA NA 0
"49" 49 6 11 NA NA NA 0
"50" 50 6 11 NA NA NA 0
"51" 51 6 11 "C" 335 5 0
"52" 52 6 12 NA NA NA 0
"53" 53 6 12 "C" 347 4 0
"54" 54 6 12 "C" 342 4 0
"55" 55 6 12 NA NA NA 0
"56" 56 6 12 NA NA NA 0
"57" 57 6 12 NA NA NA 0
"58" 58 4 13 "C" NA NA 0
"59" 59 4 13 "C" 331 3 0
"60" 60 4 13 NA NA NA 0
"61" 61 4 13 NA NA NA 0
"62" 62 6 14 "C" NA NA 0
"63" 63 6 14 "H" NA NA 0
"64" 64 6 14 NA NA NA 0
"65" 65 6 14 NA NA NA 0
"66" 66 6 14 "C" 358 3 1
"67" 67 6 14 "C" NA NA 0
"68" 68 4 15 NA NA NA 0
"69" 69 4 15 NA NA NA 0
"70" 70 4 15 "C" NA NA 0
"71" 71 4 15 NA NA NA 0
"72" 72 6 16 "C" 191 5 1
"73" 73 6 16 "H" 307 0 0
"74" 74 6 16 "H" 310 0 0
"75" 75 6 16 "H" 270 3 2
"76" 76 6 16 "H" 213 4 1
"77" 77 6 16 "H" 287 1 1
"78" 78 6 17 "H" 291 0 0
"79" 79 6 17 "C" 253 4 3
"80" 80 6 17 "H" 275 0 0
"81" 81 6 17 "C" 263 1 1
"82" 82 6 17 "H" 300 0 0
"83" 83 6 17 "H" 287 0 0
"84" 84 6 18 NA NA NA 0
"85" 85 6 18 "C" 334 5 2
"86" 86 6 18 NA NA NA 0
"87" 87 6 18 "H" NA NA 0
"88" 88 6 18 "H" 355 3 1
"89" 89 6 18 "H" 358 3 0
"90" 90 4 19 "H" 268 2 2
"91" 91 4 19 "C" 224 3 1
"92" 92 4 19 "H" 288 0 0
"93" 93 4 19 "H" 290 0 0
"94" 94 5 20 NA NA NA 0
"95" 95 5 20 "C" NA NA 0
"96" 96 5 20 "C" NA NA 0
"97" 97 5 20 "C" NA NA 0
"98" 98 5 20 "C" NA NA 0
"99" 99 6 21 "H" NA NA 0
"100" 100 6 21 "H" 361 0 0
"101" 101 6 21 "H" NA NA 0
"102" 102 6 21 "H" 343 2 0
"103" 103 6 21 "C" 328 5 3
"104" 104 6 21 "H" 356 2 2
"105" 105 6 22 "H" 360 3 1
